Overall
  Valid: 638596, Invalid Length: 4103, Invalid ASN: 2514, Not Found: 585915, VRPS seen: 319456, VRPS unseen: 223370, VRPS too permissive: 49190
NL: Valid: 9013, Invalid Length: 6, Invalid ASN: 44, Not Found: 2891, VRPS seen: 6927, VRPS unseen: 2564, VRPS too permissive: 1160
NO: Valid: 1010, Invalid Length: 8, Invalid ASN: 0, Not Found: 625, VRPS seen: 822, VRPS unseen: 279, VRPS too permissive: 96
NP: Valid: 1094, Invalid Length: 1, Invalid ASN: 3, Not Found: 12, VRPS seen: 397, VRPS unseen: 859, VRPS too permissive: 54
NR: Valid: 12, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 8, VRPS unseen: 1, VRPS too permissive: 0
NU: Valid: 5, Invalid Length: 0, Invalid ASN: 0, Not Found: 5, VRPS seen: 5, VRPS unseen: 0, VRPS too permissive: 0
NZ: Valid: 1560, Invalid Length: 3, Invalid ASN: 1, Not Found: 1409, VRPS seen: 1139, VRPS unseen: 511, VRPS too permissive: 155
OM: Valid: 968, Invalid Length: 0, Invalid ASN: 0, Not Found: 34, VRPS seen: 780, VRPS unseen: 163, VRPS too permissive: 15
PA: Valid: 1400, Invalid Length: 0, Invalid ASN: 13, Not Found: 103, VRPS seen: 199, VRPS unseen: 50, VRPS too permissive: 28
PE: Valid: 2160, Invalid Length: 0, Invalid ASN: 7, Not Found: 921, VRPS seen: 211, VRPS unseen: 72, VRPS too permissive: 69
PF: Valid: 37, Invalid Length: 0, Invalid ASN: 0, Not Found: 216, VRPS seen: 7, VRPS unseen: 16, VRPS too permissive: 2
PG: Valid: 84, Invalid Length: 0, Invalid ASN: 0, Not Found: 98, VRPS seen: 30, VRPS unseen: 22, VRPS too permissive: 4
PH: Valid: 4825, Invalid Length: 11, Invalid ASN: 17, Not Found: 438, VRPS seen: 3516, VRPS unseen: 5574, VRPS too permissive: 358
PK: Valid: 5646, Invalid Length: 12, Invalid ASN: 46, Not Found: 230, VRPS seen: 2749, VRPS unseen: 1115, VRPS too permissive: 226
PL: Valid: 4211, Invalid Length: 23, Invalid ASN: 5, Not Found: 3219, VRPS seen: 3375, VRPS unseen: 1662, VRPS too permissive: 344
PM: Valid: 18, Invalid Length: 0, Invalid ASN: 0, Not Found: 0, VRPS seen: 18, VRPS unseen: 0, VRPS too permissive: 0
PR: Valid: 276, Invalid Length: 0, Invalid ASN: 0, Not Found: 591, VRPS seen: 46, VRPS unseen: 31, VRPS too permissive: 16
PS: Valid: 704, Invalid Length: 17, Invalid ASN: 0, Not Found: 153, VRPS seen: 518, VRPS unseen: 652, VRPS too permissive: 70
PT: Valid: 648, Invalid Length: 2, Invalid ASN: 1, Not Found: 150, VRPS seen: 528, VRPS unseen: 162, VRPS too permissive: 64
PW: Valid: 5, Invalid Length: 0, Invalid ASN: 0, Not Found: 4, VRPS seen: 0, VRPS unseen: 0, VRPS too permissive: 2
PY: Valid: 767, Invalid Length: 0, Invalid ASN: 10, Not Found: 81, VRPS seen: 179, VRPS unseen: 25, VRPS too permissive: 33
QA: Valid: 339, Invalid Length: 0, Invalid ASN: 1, Not Found: 28, VRPS seen: 177, VRPS unseen: 229, VRPS too permissive: 81
RE: Valid: 96, Invalid Length: 0, Invalid ASN: 0, Not Found: 18, VRPS seen: 19, VRPS unseen: 14, VRPS too permissive: 13
RO: Valid: 3997, Invalid Length: 1, Invalid ASN: 6, Not Found: 2278, VRPS seen: 3313, VRPS unseen: 646, VRPS too permissive: 298
RS: Valid: 1133, Invalid Length: 1, Invalid ASN: 2, Not Found: 346, VRPS seen: 910, VRPS unseen: 209, VRPS too permissive: 72
RU: Valid: 18356, Invalid Length: 69, Invalid ASN: 98, Not Found: 20670, VRPS seen: 14622, VRPS unseen: 4045, VRPS too permissive: 967
RW: Valid: 128, Invalid Length: 0, Invalid ASN: 1, Not Found: 117, VRPS seen: 79, VRPS unseen: 4, VRPS too permissive: 3
SA: Valid: 8167, Invalid Length: 11, Invalid ASN: 4, Not Found: 355, VRPS seen: 7981, VRPS unseen: 1601, VRPS too permissive: 65
